PROGRAMACION DE VUELOS         VERSION 14 EMITIDA  13:30 LT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23/09/2016;;;;;;
;Mat;Orig;Dep;t.vlo;Arr;Dest;;Orig;Dep;t.vlo;Arr;Dest;;Orig;Dep;t.vlo;Arr;Dest;;Orig;Dep;t.vlo;Arr;Dest;;Orig;Dep;t.vlo;Arr;Dest;;Orig;Dep;t.vlo;Arr;Dest;;Orig;Dep;t.vlo;Arr;Dest;
;AYD;JUJ;07:30;651;07:50;SLA;00:30;SLA;08:20;851;10:20;AEP;01:40;AEP;12:00;550;13:55;PMY;01:05;PMY;15:00;551;16:45;AEP;;AEP;17:50;856;20:00;SLA;00:30;SLA;20:30;656;20:50;JUJ;;;;;;;
;Y165;;10:30;00:20;10:50;;;;11:20;02:00;13:20;;;;15:00;01:55;16:55;;;;18:00;01:45;19:45;;;;20:50;02:10;23:00;;;;23:30;00:20;23:50;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MIERCOLES;WGN;XAP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Y165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CCJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Y165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Y165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;WGM;;;;;;;BRC;08:00;611;09:55;MDQ;01:00;MDQ;10:55;610;11:45;BHI;01:00;BHI;12:45;610;14:15;BRC;01:00;BRC;15:15;647;17:20;SFN;01:00;SFN;18:20;646;20:40;BRC;;;;;;;
SEPTIEMBRE;Y165;;;;;;;;11:00;01:55;12:55;;;;13:55;00:50;14:45;;;;15:45;01:30;17:15;;;;18:15;02:05;20:20;;;;21:20;02:20;23:40;;;;;;;;
;AYD;JUJ;07:30;651;07:50;SLA;00:30;SLA;08:20;851;10:20;AEP;01:40;AEP;12:00;550;13:55;PMY;01:05;PMY;15:00;551;16:45;AEP;;AEP;17:50;856;20:00;SLA;00:30;SLA;20:30;656;20:50;JUJ;;;;;;;
;Y165;;10:30;00:20;10:50;;;;11:20;02:00;13:20;;;;15:00;01:55;16:55;;;;18:00;01:45;19:45;;;;20:50;02:10;23:00;;;;23:30;00:20;23:50;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JUEVES;WGN;XAP;01:00;695;02:00;FLN;01:00;FLN;03:00;695;05:00;AEP;;;;;;;;AEP;10:00;660;12:20;BRC;01:00;BRC;13:20;661;15:20;AEP;;;;;;;;;;;;;
;Y165;;04:00;01:00;05:00;;;;06:00;02:00;08:00;;;;;;;;;;13:00;02:20;15:20;;;;16:20;02:00;18:20;;;;;;;;;;;;;;
;CCJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Y165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Y165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;WGM;;;;;;;BRC;10:40;653;12:05;RSA;01:00;RSA;13:05;653;14:05;LUQ;01:00;LUQ;15:05;654;16:45;BRC;;;;;;;;;;;;;;;;;;;
SEPTIEMBRE;Y165;;;;;;;;13:40;01:25;15:05;;;;16:05;01:00;17:05;;;;18:05;01:40;19:45;;;;;;;;;;;;;;;;;;;;
